gene	logFC_combined	AveExpr	t	P.Value	adj.P.Val	logFC_pt3	logFC_pt7	same_direction
KRT6B	-2.0653504769894697	5.865239227815488	-9.434214182847105	4.005388849433338e-4	0.9997997501473126	-2.3215576702636316	-1.944090441499248	TRUE
FOSB	2.4223393888210647	3.865070718309009	8.637170204936318	5.846361121697081e-4	0.9997997501473126	2.4307621032081586	2.4115105993306782	TRUE
KLK4	4.266358650945638	0.7488431891021	8.266572288711956	7.046730928805445e-4	0.9997997501473126	3.7276934897096288	4.564598329549019	TRUE
KRT75	2.747542444735271	0.5088343969266589	7.7386263199294785	9.318211884431918e-4	0.9997997501473126	0.5376609148187415	2.8663810709171447	TRUE
FOS	1.2487183202456662	8.520336227779234	6.7141951985340915	0.0016869730346722558	0.9997997501473126	1.0736776567059287	1.4126144492206656	TRUE
CPXM1	2.0015719244057864	4.987617724799337	6.694073049317641	0.0017080544378960966	0.9997997501473126	2.5375755457225377	1.6398345668331231	TRUE
SLC17A9	1.5201465225466886	5.004437484591597	6.478113931134837	0.0019555404059160447	0.9997997501473126	1.266719341483145	1.7179294180272464	TRUE
PADI1	2.7373855327187395	6.407727074703297	6.211587830160112	0.0023232533178497244	0.9997997501473126	1.7898834506297643	3.502666830702898	TRUE
KRTAP5-5	4.035346352439468	-1.4882805582194383	6.100528944018548	0.0025007148836654375	0.9997997501473126	3.2601269392898327	4.443716788566226	TRUE
CHRNA3	3.0505231144858267	1.0972025142147497	6.007342155460395	0.002662304961375504	0.9997997501473126	3.4234521768889743	2.2454019349443564	TRUE
ZNF117	-1.7375552965349386	5.3871031553664945	-5.901832403049859	0.002860654992926222	0.9997997501473126	-1.2595633996220572	-2.1475170777489083	TRUE
NCALD	1.0937682612178408	5.745369217345232	5.772280263436581	0.0031290139085589862	0.9997997501473126	1.1951495934162377	0.9852562143647097	TRUE
COMP	2.512776968450236	2.26390622834235	5.768276524003063	0.0031377773519906476	0.9997997501473126	1.3984251174475701	2.835874099340091	TRUE
SCYGR8	5.060551175917183	-0.6562167506212492	5.680364213489543	0.0033378274217567764	0.9997997501473126	2.6882205913941233	6.0151047310529275	TRUE
CRCT1	0.9875449616148981	6.212416798355709	5.512451147556572	0.0037641093688997357	0.9997997501473126	0.9214557817216908	1.0357931949829027	TRUE
TMPRSS11E	-2.736360888013697	2.3041765639447043	-5.453598784472848	0.003928744326931616	0.9997997501473126	-3.9395454055465313	-2.3030505556794085	TRUE
NNMT	-1.910048004515235	4.580807428456084	-5.349046781616617	0.004242983786902013	0.9997997501473126	-1.1984425968354735	-2.3428788312288686	TRUE
GPX3	-1.5308940603585193	4.246886123416577	-5.278060086598832	0.004473526816837244	0.9997997501473126	-2.106542452202488	-1.347100150696856	TRUE
MELTF	1.255300526075379	6.262538704814755	5.108866752440479	0.005086144460287925	0.9997997501473126	1.6319451079888045	0.8910534646476505	TRUE
GJB2	-1.5568961951541969	6.955166794501319	-5.068475235734489	0.005246888117073902	0.9997997501473126	-0.9851729462707048	-2.0600753565672028	TRUE
ADCY8	1.547828864556319	3.8248894689980184	4.9924509104194925	0.005566175951948588	0.9997997501473126	1.898666997258192	1.2680079403896474	TRUE
DEFB1	-0.9383475818205028	6.129941435210134	-4.986235837286138	0.005593287580854165	0.9997997501473126	-0.8091408513177676	-1.0676018667215539	TRUE
IRX6	-1.0526768511935207	5.14950952050449	-4.960351938532573	0.005707904422081847	0.9997997501473126	-1.1461990102834365	-0.9781721949060369	TRUE
RGS11	1.2755795957524427	4.652743658124006	4.952180700709774	0.005744666962154194	0.9997997501473126	0.9717585430934461	1.5160040868881737	TRUE
PLA2G2A	-1.817047931577161	1.929328398982221	-4.903478318972456	0.005969720862765844	0.9997997501473126	-2.073773797263605	-1.73736009165968	TRUE
HRH1	-1.2872477898224737	4.107064786947388	-4.891680014822337	0.006025810195431613	0.9997997501473126	-1.4068734918114645	-1.2201629418929274	TRUE
PTGDS	0.8990017529758624	6.516094654669011	4.839152768860169	0.006283263637344053	0.9997997501473126	1.0686010957952963	0.7364759680110566	TRUE
GDA	2.597475589579668	0.06996791476641145	4.837243116601963	0.006292867327931421	0.9997997501473126	2.378353020750459	2.79286392498023	TRUE
MAP1LC3A	0.8062081238253958	6.605792263198387	4.811027532801927	0.0064264870601401505	0.9997997501473126	0.8149104416084407	0.7978093489034688	TRUE
ADCYAP1	3.1477618010849078	-0.07621297749331146	4.796156025225973	0.006503785699348626	0.9997997501473126	3.838020856341356	2.2330215314529833	TRUE
MGST1	-3.539678642791145	4.41786167475531	-4.772219187236773	0.006630537831784461	0.9997997501473126	-1.5129651582512262	-4.595855155621861	TRUE
KRT74	6.249462598037731	2.6530345648878675	4.734858444134951	0.0068342904948535685	0.9997997501473126	0.2120097338886623	7.474303153277969	TRUE
FKBP10	1.0866317828978393	5.619285953237622	4.711134987162192	0.0069675332804980325	0.9997997501473126	0.7745934394114284	1.3558393406265958	TRUE
ZBTB16	-0.9404271807705338	6.074052386051661	-4.703980321352333	0.007008321378606412	0.9997997501473126	-1.1252037888446598	-0.7479255699453953	TRUE
SELENBP1	0.9013681543163621	6.681762478423817	4.638017050930552	0.007398039972985744	0.9997997501473126	0.6900180753177363	1.1124895123976453	TRUE
ELN	1.4486101504421438	7.802833596310279	4.633666126470425	0.007424638016043783	0.9997997501473126	0.8773526511564107	2.000084723024565	TRUE
CCER2	1.4950881690048659	4.937385420079487	4.631845551072257	0.007435801202831336	0.9997997501473126	0.8290443148997131	1.898618332661976	TRUE
